name,screen_name,female,age,term,party,government,constituency,region,country,constituency_type,electorate,turnout,majority
Felicity Buchan,FelicityBuchan,1,121,1,Conservative,1,Kensington,London,England,Borough,64609,67.73359749,0.342763128
Feryal Clark,FeryalClark,1,121,1,Labour,0,Enfield North,London,England,Borough,68301,65.95803868,14.41065483
Fiona Bruce,,1,64,4,Conservative,1,Congleton,North West,England,County,80930,70.71914,32.43059074
Fleur Anderson,PutneyFleur,1,50,1,Labour,0,Putney,London,England,Borough,65556,76.9830374,9.459646898
Flick Drummond,,1,59,3,Conservative,1,Meon Valley,South East,England,County,75737,72.39394219,42.96084189
Florence Eshalomi,FloEshalomi,1,41,1,Labour,0,Vauxhall,London,England,Borough,88659,63.53895262,34.81440719
Francie Molloy,FrancieMolloy,0,71,4,SF,0,Mid Ulster,Northern Ireland,Northern Ireland,County,70449,63.33659811,21.3738234
Gagan Mohindra,gaganmohindra,0,121,1,Conservative,1,South West Hertfordshire,East,England,County,80499,76.01460888,23.5459463
Gareth Bacon,GarethBaconMP,0,49,1,Conservative,1,Orpington,London,England,Borough,68877,70.73623996,45.93091275
Gareth Davies,GarethDavies_MP,0,37,1,Conservative,1,Grantham and Stamford,East Midlands,England,County,81502,68.7136512,46.43144117
Gareth Johnson,,0,52,4,Conservative,1,Dartford,South East,England,County,82209,65.71421621,35.46637543
Gareth Thomas,GarethThomasMP,0,54,7,Labour,0,Harrow West,London,England,Borough,72464,66.13214838,18.13780727
Gary Sambrook,GarySambrook89,0,32,1,Conservative,1,"Birmingham, Northfield",West Midlands,England,Borough,73694,58.48237306,3.805280988
Gary Streeter,garystreeterSWD,0,66,8,Conservative,1,South West Devon,South West,England,County,72535,73.57413662,40.15590159
Gavin Newlands,GavNewlandsSNP,0,41,3,SNP,0,Paisley and Renfrewshire North,Scotland,Scotland,County,72007,68.99606983,23.95636247
Gavin Robinson,GRobinsonDUP,0,37,3,DUP,0,Belfast East,Northern Ireland,Northern Ireland,Borough,66245,64.07276021,4.285546001
Gavin Williamson,GavinWilliamson,0,45,4,Conservative,1,South Staffordshire,West Midlands,England,County,73668,67.87886192,56.49435056
Geoffrey Clifton-Brown,,0,68,8,Conservative,1,The Cotswolds,South West,England,County,81939,74.66041812,33.04236956
Geoffrey Cox,Geoffrey_Cox,0,61,5,Conservative,1,Torridge and West Devon,South West,England,County,80403,74.28827283,41.84162063
George Eustice,,0,50,4,Conservative,1,Camborne and Redruth,South West,England,County,70250,71.69679715,17.2732146
George Freeman,GeorgeFreemanMP,0,54,4,Conservative,1,Mid Norfolk,East,England,County,82203,68.35030352,40.21286441
George Howarth,,0,72,10,Labour,0,Knowsley,North West,England,Borough,84082,65.33859804,72.70377516
Geraint Davies,GeraintDaviesMP,0,61,7,Labour,0,Swansea West,Wales,Wales,Borough,57078,62.7737482,22.65140943
Gerald Jones,GeraldJonesLAB,0,51,3,Labour,0,Merthyr Tydfil and Rhymney,Wales,Wales,County,56322,57.25293846,32.8909012
Giles Watling,GilesWatling,0,68,2,Conservative,1,Clacton,East,England,County,70930,61.33652897,56.7783754
Gill Furniss,GillFurnissMP,1,64,3,Labour,0,"Sheffield, Brightside and Hillsborough",Yorkshire and The Humber,England,Borough,69333,57.11565921,30.99494949
Gillian Keegan,GillianKeegan,1,61,2,Conservative,1,Chichester,South East,England,County,85499,71.63007754,35.08972454
Gordon Henderson,,0,73,4,Conservative,1,Sittingbourne and Sheppey,South East,England,County,83917,61.24384809,47.63007355
